# id,course_code,course_title,course_credit,prerequisite,exclusion,corequisite

1,ACCT 1010,"Accounting, Business and Society",3 Credit(s),"","ACCT 2010, ACCT 2020",""
2,ACCT 2010,Principles of Accounting I,3 Credit(s),"",ACCT 2020,""
3,ACCT 2020,Introduction to Accounting for Non-Business Majors,3 Credit(s),"",ACCT 2010,""
4,ACCT 2200,Principles of Accounting II,3 Credit(s),(for non-BIBU students) ACCT 2010 OR ACCT 2020,"",""
5,ACCT 3010,Financial Accounting I,3 Credit(s),ACCT 2010,ACCT 3030,""
6,ACCT 3020,Financial Accounting II,3 Credit(s),ACCT 3010,ACCT 3030,""
7,ACCT 3030,Intermediate Financial Accounting for Non-Accounting Majors,3 Credit(s),ACCT 2010 or ACCT 2020,"ACCT 3010, ACCT 3020",""
8,ACCT 3210,Advanced Management Accounting,3 Credit(s),ACCT 2200,"",""
9,ACCT 3610,Functions of Law in Society and Business,3 Credit(s),"",ACCT 3650,""
10,ACCT 3650,Engineering Law,2 Credit(s),"",ACCT 3610,""
11,ACCT 3880,Professional Excellence Program,1 Credit(s),"","",""
12,ACCT 4010,Advanced Financial Accounting,3 Credit(s),ACCT 3020,"",""
13,ACCT 4020,Financial Statement Analysis,4 Credit(s),ACCT 2010,FINA 3403,""
14,ACCT 4410,Taxation,3 Credit(s),"","",ACCT 3010 AND ACCT 3610
15,ACCT 4510,Auditing,3 Credit(s),ACCT 3020,"",""
16,ACCT 4610,Company Law,3 Credit(s),ACCT 3610,"",""
17,ACCT 4980,Independent Study,1-4 Credit(s),"","",""
18,BIBU 1010,Biotechnology and Business Seminar,1 Credit(s),"","",""
19,BIEN 2010,Application of Engineering in Life Science,3 Credit(s),"","",""
20,BIEN 3010,Biodesign: A Taste of Solving Real-Life Healthcare Problems,3 Credit(s),"","",""
21,BIEN 3020,Advanced Biological Physics,3 Credit(s),BIPH 2010 AND (LIFS 2010 OR LIFS 2040) AND (PHYS 1114 OR PHYS 1314),"",""
22,BIEN 4910,Independent Study,1-4 Credit(s),"","",""
23,BIPH 2010,Introductory Biological Physics,3 Credit(s),(LIFS 1901 OR level 3 or above in HKDSE 1xBiology) AND (PHYS 1111 OR PHYS 1112 OR PHYS 1312),"",""
24,BIPH 3010,Advanced Biological Physics,3 Credit(s),BIPH 2010 AND (LIFS 2010 OR LIFS 2040) AND (PHYS 1114 OR PHYS 1314),"",""
25,BIPH 4010,Principles of Quantitative Instrumentation,3 Credit(s),BIPH 3010,"",""
26,BMED 1100,Technologies and World Health,3 Credit(s),"","",""
27,BMED 4950,Special Project,1-4 Credit(s),"","",""
28,CENG 1000,Introduction to Chemical and Biomolecular Engineering,3 Credit(s),"","",""
29,CENG 1010,Academic and Professional Development I,0 Credit(s),"",CENG 2000 (prior to 2016-17),""
30,CENG 1500,A First Course on Materials Science and Applications,3 Credit(s),"","MECH 2410, PHYS 3040",""
31,CENG 1600,Biotechnology and Its Business Opportunities,3 Credit(s),"","",""
32,CENG 1700,Introduction to Environmental Engineering,3 Credit(s),"",CIVL 2410,""
33,CENG 1800,Introduction to Food Science and Technology,3 Credit(s),"","",""
34,CENG 1980,Industrial Training,0 Credit(s),"","",""
35,CENG 1990,Industrial Training,0 Credit(s),"","",""
36,CENG 2110,Processes Principles,3 Credit(s),"","",CENG 1000
