# id,institution,course_code,transfer_course_code,restriction,db_reference_no

1,Centennial College,CHI4001,OTHR FREE: Free Credits,No Restriction,B00277a
2,Centennial College,SCI4001,"ISOM 1000OM: 1000-level Course in Information Systems, Business Statistics and Operations Management",Expired,B00279c
3,Centennial College,ACC4001,ACCT 2010: Principles of Accounting I,GD:B+,B00276a
4,Centennial College,BUS4001,MARK 2120: Marketing Management,Expired,B00270b
5,Centennial College,POL4001,SOSC 1000LEVEL: 1000-level Course in Social Science,No Restriction,B00278
6,Centennial College,HUM4001,HUMA 1720: Logic,No Restriction,B00274
7,Centennial College,HUM4002,HUMA 1100: Music of the World,No Restriction,B00273
8,Chu Hai College of Higher Education,ABA101A+ ABA101B,ACCT 2010: Principles of Accounting I,GD:B+,B14532
9,City University of Hong Kong,BST 22317,CIVL 1130: Monumental Structures from Ancient to Modern Times,No Restriction,B14711
10,City University of Hong Kong,BST12345,CIVL 2110: Statics,GD:B,B02497b
11,City University of Hong Kong,GE1125,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02551
12,City University of Hong Kong,GE2305,STCC UCORE: Common Core Course in Science and Technology,No Restriction,B12160a
13,City University of Hong Kong,MA0101,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B06564a
14,City University of Hong Kong,GE1105,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02608
15,City University of Hong Kong,BST12359,COMP 1022Q: Introduction to Computing with Excel VBA,GD:B+,B02499
16,City University of Hong Kong,BST11959,COMP 1022Q: Introduction to Computing with Excel VBA,GD:B+,B02544
17,City University of Hong Kong,GE2314,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02610
18,City University of Hong Kong,BST22326 + BST22353 + BST12350,CIVL 3210: Introduction to Construction Management,GD:B,B06565
19,City University of Hong Kong,BST22326 + BST22353 + BST12350 + BST22325,CIVL 3210: Introduction to Construction Management,GD:B,B06614
20,City University of Hong Kong,CGE12303,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B06721
21,City University of Hong Kong,CB2400,ECON 2103: Principles of Microeconomics,GD:B+,B02138b
22,City University of Hong Kong,GE2306,PHYS 1003: Energy and Related Environmental Issues,No Restriction,B06617
23,City University of Hong Kong,CGE13204,LIFS 1000LEVEL: 1000-level Course in Life Science,No Restriction,B06722
24,City University of Hong Kong,BST22347,CIVL 3740: Geotechnical Analysis and Design (Previous code: CIVL4720),No Restriction,B02547b
25,City University of Hong Kong,BUS20119,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B03482a
26,City University of Hong Kong,CB2300,MGMT 2110: Organizational Behavior,GD:B+,B02137a
27,City University of Hong Kong,CTL2956,LANG 1120: Chinese for Non-Chinese Language Background Students I,No Restriction,B02143
28,City University of Hong Kong,BST12331,CIVL 2810: Construction Materials,GD:B,B02498a
29,City University of Hong Kong,CB2201,ISOM 2700: Operations Management,GD:B+,B02136b
30,City University of Hong Kong,GE2227,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02609
31,City University of Hong Kong,GE2303,ENVR 1000LEVEL: 1000-level Course in Environment,No Restriction,B07159
32,City University of Hong Kong,BST12624 + BST12315 + BST22611,MECH 1905: Buildings for Contemporary Living,No Restriction,B14092
33,City University of Hong Kong,BST12511,MECH 2310: Thermodynamics,GD:B+,B02583
34,City University of Hong Kong,CHIN1001,LANG CCOM: Chinese Language Proficiency Achieved,No Restriction,B02500
35,City University of Hong Kong,GE1114,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B07158
36,"College of International Education, Hong Kong Baptist University",LFSC 1401,LIFS 2000LEVEL: 2000-level Course in Life Science,No Restriction,B06388a
37,"College of International Education, Hong Kong Baptist University",ELSS3010,MGMT 2010: Business Ethics and the Individual,GD:B+,B10329
38,"College of International Education, Hong Kong Baptist University",LFSC 1402,LIFS 2000LEVEL: 2000-level Course in Life Science,No Restriction,B06389a
39,"College of International Education, Hong Kong Baptist University",GEBS3003,MGMT 1120: Developing the Leader in You,GD:B+,B01168
40,"College of International Education, Hong Kong Baptist University",ENCS1105,LIFS 3160: Ecology,No Restriction,B00653a
41,"College of International Education, Hong Kong Baptist University",FSEH1203,ENVS 2000LEVEL: 2000-level Course in Environmental Science,No Restriction,B02840c
42,"College of International Education, Hong Kong Baptist University",GESC1109 / GESS1109,ENVR 1000LEVEL: 1000-level Course in Environment,No Restriction,B10324
43,"College of International Education, Hong Kong Baptist University",NUFM 1501,LIFS 4550: Biochemistry of Nutrition,No Restriction,B00698
44,"College of International Education, Hong Kong Baptist University",NUFM1501,LIFS 4550: Biochemistry of Nutrition,No Restriction,B14090
45,"College of International Education, Hong Kong Baptist University",GECR1001,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B02701
46,"College of International Education, Hong Kong Baptist University",GESS5301,SOSC 1960: Discovering Mind and Behavior,GD:B,B02839b
47,"College of International Education, Hong Kong Baptist University",GECR5201,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02860a
48,"College of International Education, Hong Kong Baptist University",GESC1202,LIFS 1090: Food and Medicine,No Restriction,B02835
49,"College of International Education, Hong Kong Baptist University",FSEH1204,CENG 4630: Food Processing Technology,No Restriction,B02838a
50,"College of International Education, Hong Kong Baptist University",GESC1208,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B10325a
51,"College of International Education, Hong Kong Baptist University",GESC1208 / GESS1208,LIFS 3000LEVEL: 3000-level Course in Life Science,No Restriction,B10325
52,"College of International Education, Hong Kong Baptist University",ENCS1106,LIFS 1901: General Biology I,No Restriction,B00650b
53,"College of International Education, Hong Kong Baptist University",FSEH1206,CHEM 1010: General Chemistry IA,No Restriction,B00649b
54,"College of International Education, Hong Kong Baptist University",LFSC 1403,LIFS 2000LEVEL: 2000-level Course in Life Science,No Restriction,B06390a
55,"College of International Education, Hong Kong Baptist University",GESC1102,CENG 1700: Introduction to Environmental Engineering,No Restriction,B02577
56,"College of International Education, Hong Kong Baptist University",GESC1102,LIFS 1030: Environmental Science,No Restriction,B00654a
57,"College of International Education, Hong Kong Baptist University",LFSC 1404,LIFS 1902: General Biology II,No Restriction,B06387a
58,"College of International Education, Hong Kong Baptist University",GECV4002,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02570a
59,"College of International Education, Hong Kong Baptist University",GECR5202,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B13099a
60,"College of International Education, Hong Kong Baptist University",GEAS2103,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02861a
61,"College of International Education, Hong Kong Baptist University",BUAD1002,ISOM 2010: Introduction to Information Systems,GD:B+,B10334
62,"College of International Education, Hong Kong Baptist University",MRTG3103,MARK 2120: Marketing Management,GD:B+,B10326
63,"College of International Education, Hong Kong Baptist University",ENCS1107,LIFS 3060: Microbiology,No Restriction,B02857
64,"College of International Education, Hong Kong Baptist University",NUFM1504 + NUFM1505,LIFS 4000LEVEL: 4000-level Course in Life Science,No Restriction,B11034a
65,"College of International Education, Hong Kong Baptist University",MRTG3004,MGMT 2110: Organizational Behavior,GD:B+,B11328
66,"College of International Education, Hong Kong Baptist University",GESS5101 / GESS5101C,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02569a
67,"College of International Education, Hong Kong Baptist University",GECR5001 / GECR5001C,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B06391a
68,"College of International Education, Hong Kong Baptist University",ELSS3007,ACCT 2010: Principles of Accounting I,GD:B+,B10230
69,"College of International Education, Hong Kong Baptist University",BUAD3005 ,ACCT 2200: Principles of Accounting II,GD:B+,B10231
70,"College of International Education, Hong Kong Baptist University",BUAD3006,ECON 2123: Macroeconomics,GD:B+,B10328
71,"College of International Education, Hong Kong Baptist University",BUAD3008,ECON 2103: Principles of Microeconomics,GD:B+,B10327
72,"College of International Education, Hong Kong Baptist University",GECR4001,LANG CCOM: Chinese Language Proficiency Achieved,No Restriction,B02837a
73,"College of International Education, Hong Kong Baptist University",GEAS 2112,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B13103
74,"College of International Education, Hong Kong Baptist University",GECR5002,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B02574b
75,"College of International Education, Hong Kong Baptist University",GECR1302,ISOM 2500: Business Statistics,GD:B+,B02859b
76,"College of International Education, Hong Kong Baptist University",GECR1302,MATH 2411: Applied Statistics,No Restriction,B02859
77,"College of International Education, Hong Kong Baptist University",GECR1302,SOSC 1100: Elementary Statistics for Social Research,GD:B-,B02859a
78,Community College of City University,AST21117,MATH 2111: Matrix Algebra and Applications,No Restriction,B06292
79,Community College of City University,DCO20207 / AST20207,COMP S&D: Computer Science Track Course,GD:B+,B00180a
80,Community College of City University,DCO10111 / AST10111,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B00052
81,Community College of City University,(DCO10111 / AST10111) + (DCO10112 / AST21112),MATH 1020: Accelerated Calculus,No Restriction,B00250
82,Community College of City University,MA0101,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B00587
83,Community College of City University,DCO10211 /AST10211,LIFS 1901: General Biology I,No Restriction,B00499b
84,Community College of City University,DCO10211 /AST10211,LIFS 1901: General Biology I,No Restriction,B00499a
85,Community College of City University,DCO22113 / AST22113,COMP 4331: Data Mining,GD:B+,B00124a
86,Community College of City University,BUS20112 + BUS20180,IELM 3450: Logistics Planning and Service Management,No Restriction,B07047
87,Community College of City University,CM10331,MGMT 2110: Organizational Behavior,GD:B+,B00446c
88,Community College of City University,AST21115,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B14014
89,Community College of City University,AST21115+AST11117,MATH 1020: Accelerated Calculus,No Restriction,B14195
90,Community College of City University,AST10210 / DCO10210,CHEM 1010: General Chemistry IA,No Restriction,B02752
91,Community College of City University,DCO10210,CHEM 1020: General Chemistry IB,No Restriction,B00496
92,Community College of City University,GE1501,HUMA 1811: History of Chinese Philosophy,GD:B,B00591a
93,Community College of City University,CGE26503,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02462
94,Community College of City University,CGE 13208 / CGE 23208,"CIVL 1170: Climate Change, Sustainability and Big History (Aka: Climate Change Risk, Mitigation and Adaptations)",GD:B,B06280
95,Community College of City University,DCO20116,COMP G&M: Computer Science Track Course,GD:B+,B00112a
96,Community College of City University,AST10201,COMP 2611: Computer Organization,GD:B+,B02248
97,Community College of City University,AST20613,COMP S&D: Computer Science Track Course,GD:B+,B02346
98,Community College of City University,CGE26504,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B02444d
99,Community College of City University,CGE26504,SOSC 1350: Contemporary China: Continuity and Change,Expired,B00497
100,Community College of City University,AST 21204,ENVR 1050: The Sustainable Citizen,No Restriction,B02645b
101,Community College of City University,AST21204,ENVR 1050: The Sustainable Citizen,No Restriction,B02645a
102,Community College of City University,DSS11104,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B13105a
103,Community College of City University,CGE14401,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B06776a
104,Community College of City University,DSS20325,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B07000a
105,Community College of City University,CGE12301,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02444a
106,Community College of City University,DCO20114 / AST20114,COMP A&T: Computer Science Track Course,GD:B+,B00110b
107,Community College of City University,AST20105,COMP A&T: Computer Science Track Course,GD:B+,B02464
108,Community College of City University,DCO20403,COMP S&D: Computer Science Track Course,GD:B+,B00122a
109,Community College of City University,AST21401,ISOM 3260: Database Design and Administration,GD:B+,B13169
110,Community College of City University,AST21401,IELM 3300: Industrial Data Systems,No Restriction,B00449a
111,Community College of City University,DCO20401 / AST20401,COMP 3311: Database Management Systems,GD:B+,B00120a
112,Community College of City University,DSS10621,SOSC 2000LEVEL: 2000-level Course in Social Science,GD:B,B06995a
113,Community College of City University,DCO10114 / AST21114,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B00044
114,Community College of City University,DCO10114 / AST21114,COMP S&N: Computer Science Track Course,GD:B+,B00044b
115,Community College of City University,BCH1200,LIFS 1901: General Biology I,No Restriction,B03183
116,Community College of City University,AST21111,COMP A&T: Computer Science Track Course,GD:B+,B02772e
117,Community College of City University,AST20210,LIFS 3160: Ecology,No Restriction,B02643
118,Community College of City University,BUS10407,ECON 2103: Principles of Microeconomics,GD:B+,B03479
119,Community College of City University,BUS10408,ECON 2123: Macroeconomics,GD:B+,B03480
120,Community College of City University,BST11513+ BST21551+ BST21552+ BST21553,MECH 3630: Electrical Technology,Expired,B00589
121,Community College of City University,DCO20112 /AST20112 + DCO10401 / AST10401,ELEC 2400: Electronic Circuits,GD:A-,B00254a
122,Community College of City University,DCO20112+ DCO20113,ELEC 2400: Electronic Circuits,GD:A-,B00254
123,Community College of City University,DCO20112 / AST20112,COMP S&N: Computer Science Track Course,GD:B+,B00045b
124,Community College of City University,CGE13201,ENVR 1040: The Environment and Society - A Comprehensive Perspective,No Restriction,B06998a
125,Community College of City University,AST21203,PHYS 1003: Energy and Related Environmental Issues,No Restriction,B11219a
126,Community College of City University,AST21203,ENVR 3220: Energy Resources and Usage,No Restriction,B11219
127,Community College of City University,AST20211,ENVR 1030: Environment and Health,No Restriction,B11220
